"Township","Area","State","Median_Price","Median_PSF","Transactions","Multi_Type","Primary_Type","Freehold","Leasehold","Primary_Tenure","Log_Median_Price","Log_Median_PSF","Log_Transactions"
"scientex sungai dua","tasek gelugor","penang",331800,304,593,0,"terrace house",1,0,1,12.7122876567385,5.71702770140622,6.38519439899773
"bandar putra","kulai","johor",590900,322,519,1,"cluster house",1,0,1,13.2894020773338,5.77455154554441,6.25190388316589
"taman lagenda tropika tapah","chenderiang","perak",229954,130,414,0,"terrace house",1,0,1,12.3456345679027,4.86753445045558,6.02586597382531
"scientex jasin mutiara","bemban","melaka",255600,218,391,0,"terrace house",1,0,1,12.4513690014855,5.38449506278909,5.96870755998537
"taman lagenda aman","tapah","perak",219300,168,363,0,"terrace house",0,1,0,12.298195934406,5.12396397940326,5.89440283426485
"taman impian emas","tebrau","johor",738000,328,349,1,"terrace house",1,0,1,13.5116991035826,5.79301360838414,5.85507192220243
"taman kota masai","pasir gudang","johor",345000,323,319,0,"terrace house",1,0,1,12.7512996960135,5.77765232322266,5.76519110278484
"taman lagenda teluk intan","teluk intan","perak",236594,126,309,1,"terrace house",0,1,0,12.3741008709487,4.83628190695148,5.73334127689775
"bandar scientex jasin","jasin","melaka",180000,188,301,0,"terrace house",1,0,1,12.1007121298723,5.23644196282995,5.70711026474888
"bandar bukit raja","kapar","selangor",793888,496,292,0,"terrace house",1,0,1,13.5846976723452,6.20657592672493,5.67675380226828
"taman impiana kesang","bemban","melaka",128730,92,288,0,"terrace house",0,1,0,11.7654724666537,4.52178857704904,5.66296048013595
"taman bukit indah","iskandar puteri (nusajaya)","johor",695000,425,259,0,"terrace house",1,0,1,13.4516671245469,6.05208916892442,5.55682806169954
"taman nusa seri cengal 2 & 3","nilai","negeri sembilan",359000,194,210,0,"terrace house",0,1,0,12.7910776674704,5.26785815906333,5.34710753071747
"bandar dato' onn","tebrau","johor",750000,450,203,1,"terrace house",1,0,1,13.5278284855125,6.10924758276437,5.31320597904179
"taman universiti","skudai","johor",394000,307,202,0,"terrace house",1,0,1,12.8841061882801,5.7268477475872,5.30826769740121
"taman johor jaya","johor bahru","johor",450000,326,195,0,"terrace house",1,0,1,13.0170028617465,5.78689738136671,5.27299955856375
"taman putera indah","batu pahat","johor",4e+05,214,193,1,"terrace house",1,0,1,12.8992198260901,5.36597601502185,5.26269018890489
"taman kirana","kluang","johor",170800,125,188,0,"terrace house",0,1,0,12.0482485603366,4.8283137373023,5.23644196282995
"taman bestari indah","ulu tiram","johor",832000,471,184,0,"terrace house",1,0,1,13.6315877198033,6.15485809401642,5.21493575760899
"taman mutiara rini","skudai","johor",672000,396,183,0,"terrace house",0,1,0,13.4180136195053,5.98141421125448,5.20948615284142
"taman bukit perdana","kluang","johor",343400,140,181,0,"cluster house",1,0,1,12.7466512274455,4.9416424226093,5.19849703126583
"taman scientex","pasir gudang","johor",380000,387,177,1,"terrace house",1,0,1,12.8479265317026,5.95842469302978,5.17614973257383
"bandar baru permas jaya","permas jaya","johor",5e+05,392,173,0,"terrace house",1,0,1,13.1223633774043,5.97126183979046,5.15329159449778
"taman daya","tebrau","johor",504000,331,172,1,"cluster house",1,0,1,13.1303315470535,5.80211837537706,5.14749447681345
"horizon hills","iskandar puteri (nusajaya)","johor",1180000,500,171,0,"terrace house",1,0,1,13.9810249964418,6.21460809842219,5.14166355650266
"bukit sentosa","serendah","selangor",290000,232,166,1,"bungalow",1,0,1,12.5776362019627,5.44673737166631,5.11198778835654
"d'summit residences","skudai","johor",452900,602,165,0,"service residence",1,0,1,13.0234266295443,6.40025744530882,5.10594547390058
"bandar baru sri klebang","chemor","perak",472800,235,164,1,"terrace house",1,0,1,13.066427745074,5.45958551414416,5.0998664278242
"taman desa tebrau","tebrau","johor",930000,470,163,1,"terrace house",1,0,1,13.7429398651294,6.1527326947041,5.09375020080676
"taman pagoh jaya - tr 428","pagoh","johor",80000,74,156,0,"terrace house",1,0,1,11.289781913656,4.30406509320417,5.04985600724954
"bandar baru kangkar pulai","kulai","johor",553200,297,155,1,"cluster house",1,1,1,13.2234748787727,5.6937321388027,5.04342511691925
"taman arowana [lenggeng]","lenggeng","negeri sembilan",476240,310,152,0,"terrace house",0,1,0,13.0736772078273,5.73657229747919,5.02388052084628
"taman perling","perling","johor",527500,286,152,0,"terrace house",1,0,1,13.1759041443324,5.65599181081985,5.02388052084628
"layanggkasa","pasir gudang","johor",551650,384,149,0,"terrace house",1,0,1,13.2206690661885,5.95064255258773,5.00394630594546
"indahpura","kulai","johor",680000,377,145,0,"terrace house",1,0,1,13.4298480771523,5.93224518744801,4.97673374242057
"taman bunga raya","serendah","selangor",2e+05,186,144,0,"terrace house",0,1,0,12.2060726455302,5.2257466737132,4.969813299576
"taman sepadu jaya (d'halona place)","penaga","penang",307000,277,141,0,"terrace house",1,0,1,12.6346030265693,5.62401750618734,4.94875989037817
"taman sentosa","klang","selangor",450000,357,141,0,"terrace house",1,0,1,13.0170028617465,5.87773578177964,4.94875989037817
"taman anjung sungai petai","sungei petai","melaka",298800,194,140,1,"terrace house",1,0,1,12.6075297322408,5.26785815906333,4.9416424226093
"seksyen 30 shah alam","shah alam","selangor",495000,308,140,1,"semi d",1,0,1,13.1123130415508,5.73009978297357,4.9416424226093
"taman puteri wangsa","ulu tiram","johor",450000,294,138,0,"terrace house",1,0,1,13.0170028617465,5.68357976733868,4.92725368515721
"taman serai residensi","padang serai","kedah",199800,143,136,1,"terrace house",1,0,1,12.2050721451966,4.96284463025991,4.91265488573605
"tanjung puteri resort","pasir gudang","johor",397800,258,135,1,"bungalow",1,0,1,12.893704645402,5.55295958492162,4.90527477843843
"bandar baru setia awan perdana","sitiawan","perak",245000,139,128,1,"cluster house",1,0,1,12.4090134895269,4.93447393313069,4.85203026391962
"taman sri impian / bandar sri impian","kluang","johor",419444,200,124,0,"terrace house",1,0,1,12.9466853037258,5.29831736654804,4.82028156560504
"bandar seri coalfields","ijok","selangor",913800,432,123,1,"terrace house",1,0,1,13.7253670081113,6.06842558824411,4.81218435537242
"taman tasik utama","bukit katil","melaka",270000,175,123,0,"terrace house",0,1,0,12.5061772379805,5.16478597392351,4.81218435537242
"pulau indah","klang","selangor",350000,252,122,0,"terrace house",1,0,1,12.7656884334656,5.52942908751142,4.80402104473326
"taman ungku tun aminah","skudai","johor",530000,322,122,0,"terrace house",1,0,1,13.1806322855283,5.77455154554441,4.80402104473326
"elmina west","shah alam","selangor",1060888,550,120,0,"terrace house",1,0,1,13.8746168512325,6.30991827822652,4.78749174278205
"taman setia indah","tebrau","johor",610000,382,118,0,"terrace house",1,0,1,13.3212142361495,5.94542060860658,4.77068462446567
"seksyen 29 shah alam","shah alam","selangor",472800,309,118,0,"terrace house",0,1,0,13.066427745074,5.73334127689775,4.77068462446567
"taman banang jaya","batu pahat","johor",618500,388,118,0,"terrace house",1,0,1,13.3350524708147,5.96100533962327,4.77068462446567
"taman saujana","kluang","johor",150000,107,117,0,"terrace house",1,0,1,11.9183905730784,4.67282883446191,4.76217393479776
"flat taman ungku tun aminah","skudai","johor",140000,283,117,0,"flat",1,0,1,11.8493977015914,5.64544689764324,4.76217393479776
"meridin east","pasir gudang","johor",580000,414,115,0,"terrace house",1,0,1,13.2707833825226,6.02586597382531,4.74493212836325
"taman skudai baru","skudai","johor",435000,325,114,0,"terrace house",1,0,1,12.9831013100708,5.78382518232974,4.7361984483945
"taman mutiara bestari","skudai","johor",1114310,483,114,1,"cluster house",1,0,1,13.9237459372388,6.18001665365257,4.7361984483945
"bukit beruntung","serendah","selangor",3e+05,222,113,0,"terrace house",1,0,1,12.6115377536383,5.40267738187228,4.72738781871234
"taman rinting","masai","johor",430000,279,111,0,"terrace house",1,0,1,12.9715404876697,5.63121178182137,4.70953020131233
"setia tropika","tampoi","johor",911890,435,110,1,"cluster house",1,0,1,13.7232746477469,6.07534603108868,4.70048036579242
"caledonia","ijok","selangor",509800,392,109,0,"terrace house",1,0,1,13.1417737709242,5.97126183979046,4.69134788222914
"alam nusantara","setia alam","selangor",872999,496,109,0,"terrace house",1,0,1,13.6796896893457,6.20657592672493,4.69134788222914
"taman scientex kota tinggi","kota tinggi","johor",80000,104,105,0,"terrace house",0,1,0,11.289781913656,4.64439089914137,4.65396035015752
"laman aspirasi (banting)","banting","selangor",180000,129,104,1,"semi d",1,0,1,12.1007121298723,4.85981240436167,4.64439089914137
"bandar mahkota cheras","cheras","selangor",640000,422,103,1,"terrace house",1,0,1,13.3692234553359,6.04500531403601,4.63472898822964
"prima @ sitiawan","sitiawan","perak",270610,193,102,0,"terrace house",1,0,1,12.508433948951,5.26269018890489,4.62497281328427
"bandar mahkota banting (bandar baru brooklands)","tanjong duabelas","selangor",4e+05,258,102,0,"terrace house",1,0,1,12.8992198260901,5.55295958492162,4.62497281328427
"oug parklane","jalan klang lama (old klang road)","kuala lumpur",580000,611,102,0,"service residence",1,0,1,13.2707833825226,6.4150969591716,4.62497281328427
"alam impian","shah alam","selangor",887800,488,99,0,"terrace house",1,0,1,13.6965017713821,6.19031540585315,4.59511985013459
"dorsett residences bukit bintang","bukit bintang","kuala lumpur",1482000,1664,94,0,"service residence",1,0,1,14.2089030848382,7.41697962138115,4.54329478227
"bandar tasik puteri","rawang","selangor",4e+05,281,93,0,"terrace house",0,1,0,12.8992198260901,5.63835466933375,4.53259949315326
"bandar utama","bandar utama","selangor",1510000,849,92,0,"terrace house",1,0,1,14.2276202087911,6.74405918631135,4.52178857704904
"perwira seri iskandar","seri iskandar","perak",145000,104,92,0,"terrace house",0,1,0,11.8844890214027,4.64439089914137,4.52178857704904
"taman austin duta","tebrau","johor",781000,493,92,1,"terrace house",1,0,1,13.5683304288218,6.20050917404269,4.52178857704904
"taman pulai indah","skudai","johor",460000,321,92,1,"terrace house",1,0,1,13.0389817684653,5.77144112313002,4.52178857704904
"bandar baru lapangan","ipoh","perak",588800,369,91,0,"terrace house",0,1,0,13.2858418463968,5.91079664404053,4.51085950651685
"taman puterimas (kluang)","kluang","johor",250750,119,89,0,"terrace house",1,0,1,12.4322117058242,4.77912349311153,4.48863636973214
"d'art hills residence","senai","johor",839000,591,89,0,"terrace house",1,0,1,13.6399659854493,6.3818160174061,4.48863636973214
"taman desa bertam","tanjong minyak","melaka",453000,185,89,1,"semi d",1,0,1,13.0236474044652,5.22035582507832,4.48863636973214
"taman rem","kota tinggi","johor",246600,160,89,0,"terrace house",0,1,0,12.4155228697124,5.07517381523383,4.48863636973214
"taman pulai mutiara 2","skudai","johor",564230,252,88,1,"terrace house",1,0,1,13.2432172487702,5.52942908751142,4.47733681447821
"kota bayuemas","klang","selangor",804000,446,88,1,"terrace house",1,0,1,13.5973545481611,6.10031895202006,4.47733681447821
"taman kota impian @ impian hills","kota tinggi","johor",713000,405,87,0,"terrace house",1,0,1,13.4772366993964,6.00388706710654,4.46590811865458
"eka heights - precinct 3b","labu","negeri sembilan",4e+05,267,87,0,"terrace house",1,0,1,12.8992198260901,5.58724865840025,4.46590811865458
"bandar springhill","jimah","negeri sembilan",220000,179,86,0,"terrace house",1,0,1,12.3013828253345,5.18738580584075,4.45434729625351
"taman hijauan valdor","sungai bakap","penang",675000,241,85,1,"terrace house",1,0,1,13.4224679698547,5.48479693349065,4.44265125649032
"taman sri gombak","batu caves","selangor",450000,556,85,0,"terrace house",1,0,1,13.0170028617465,6.32076829425058,4.44265125649032
"flora damansara apartment","damansara perdana","selangor",380000,447,85,0,"apartment",0,1,0,12.8479265317026,6.10255859461357,4.44265125649032
"taman kota sri ahmad shah","kuantan","pahang",582222,334,84,0,"terrace house",0,1,0,13.2746070972815,5.8111409929767,4.43081679884331
"taman mesra impian","kampar","perak",3e+05,214,83,0,"terrace house",0,1,0,12.6115377536383,5.36597601502185,4.4188406077966
"s2 heights","seremban 2","negeri sembilan",775800,464,83,0,"terrace house",1,0,1,13.561650033988,6.13988455222626,4.4188406077966
"taman seri mahkota","sitiawan","perak",250000,179,82,0,"terrace house",1,0,1,12.4292161968444,5.18738580584075,4.40671924726425
"taman kinding akasia","ipoh","perak",260000,186,82,0,"terrace house",0,1,0,12.4684369099977,5.2257466737132,4.40671924726425
"taman shorea hartamas","pasir panjang","negeri sembilan",250000,183,82,0,"terrace house",1,0,1,12.4292161968444,5.20948615284142,4.40671924726425
"prima d'marina","kuantan","pahang",431167,271,82,0,"terrace house",0,1,0,12.9742507650361,5.6021188208797,4.40671924726425
"bukit jelutong","shah alam","selangor",980000,437,81,1,"semi d",1,0,1,13.7953078506468,6.07993319509559,4.39444915467244
"beris meraga","kijal","terengganu",320000,126,81,1,"semi d",1,0,1,12.6760762747759,4.83628190695148,4.39444915467244
"bayu sutera - precinct 3b","jimah","negeri sembilan",675888,483,80,0,"terrace house",1,0,1,13.4237826608252,6.18001665365257,4.38202663467388
"bandar ioi","segamat","johor",349350,208,80,0,"terrace house",1,0,1,12.7638295639806,5.33753807970132,4.38202663467388
"bandar country homes","rawang","selangor",420000,313,79,1,"terrace house",1,0,1,12.9480099902596,5.74620319054015,4.36944785246702
"setia sky 88","johor bahru","johor",1386800,1270,79,0,"service residence",1,0,1,14.142509492793,7.14677217945264,4.36944785246702
"per. permatang badak perdana (pl 177521)","kuantan","pahang",325000,232,78,0,"terrace house",0,1,0,12.6915804613119,5.44673737166631,4.35670882668959
"eka heights - precinct 3a","labu","negeri sembilan",380000,267,78,0,"terrace house",1,0,1,12.8479265317026,5.58724865840025,4.35670882668959
"taman putri kulai","kulai","johor",450000,292,78,0,"terrace house",1,0,1,13.0170028617465,5.67675380226828,4.35670882668959
"taman century","johor bahru","johor",609000,327,78,1,"terrace house",1,0,1,13.319573546692,5.78996017089725,4.35670882668959
"bandar baru uda","johor bahru","johor",5e+05,279,78,0,"terrace house",1,1,1,13.1223633774043,5.63121178182137,4.35670882668959
"bandar saujana putra","tanjong duabelas","selangor",450000,339,78,0,"terrace house",0,1,0,13.0170028617465,5.82600010738045,4.35670882668959
"taman puncak jalil","seri kembangan","selangor",580000,400,78,0,"terrace house",0,1,0,13.2707833825226,5.99146454710798,4.35670882668959
"taman nada embun","rantau","negeri sembilan",522000,368,77,0,"terrace house",1,0,1,13.1654228668648,5.90808293816893,4.34380542185368
"residensi mesra","gurun","kedah",232000,141,76,0,"terrace house",1,0,1,12.3544926506484,4.94875989037817,4.33073334028633
"taman megah ria","masai","johor",436440,320,76,1,"terrace house",1,0,1,12.986406187769,5.76832099579377,4.33073334028633
"taman saffron","serendah","selangor",437100,357,75,0,"terrace house",1,0,1,12.9879172808514,5.87773578177964,4.31748811353631
"serenia city","dengkil","selangor",828888,532,75,0,"terrace house",1,0,1,13.6278403224571,6.27664348934164,4.31748811353631
"putra heights","subang jaya","selangor",855000,448,75,0,"terrace house",1,0,1,13.6588567479189,6.10479323241498,4.31748811353631
"taman arowana","sungai petani","kedah",276800,230,74,0,"terrace house",1,0,1,12.5310505027257,5.4380793089232,4.30406509320417
"kota kemuning","shah alam","selangor",844000,417,74,0,"terrace house",1,0,1,13.6459077735781,6.0330862217988,4.30406509320417
"bandar puteri klang","klang","selangor",682500,434,74,0,"terrace house",1,0,1,13.4335178060413,6.07304453410041,4.30406509320417
"bandar puchong jaya","puchong","selangor",725000,513,74,0,"terrace house",1,0,1,13.4939269338368,6.24027584517077,4.30406509320417
"taman ponderosa","johor bahru","johor",1110900,535,74,0,"semi d",1,0,1,13.9206810555698,6.28226674689601,4.30406509320417
"taman desa jaya","johor bahru","johor",440000,338,73,0,"terrace house",1,0,1,12.9945300058944,5.82304589548302,4.29045944114839
"laman setia","iskandar puteri (nusajaya)","johor",650000,389,73,0,"terrace house",1,0,1,13.3847276418718,5.96357934361845,4.29045944114839
"taman pelangi indah","ulu tiram","johor",6e+05,308,73,1,"terrace house",1,0,1,13.3046849341983,5.73009978297357,4.29045944114839
"taman puteri","padang serai","kedah",204000,159,72,0,"terrace house",1,0,1,12.2258752728264,5.06890420222023,4.27666611901606
"taman sengkang","pasir panjang","negeri sembilan",279000,192,72,0,"terrace house",1,0,1,12.5389670608035,5.25749537202778,4.27666611901606
"mkh boulevard","kajang","selangor",299000,503,72,0,"service residence",0,1,0,12.6081988523728,6.22059017009974,4.27666611901606
"la casa lunas","lunas","kedah",516888,227,71,0,"semi d",1,0,1,13.1555814955925,5.4249500174814,4.26267987704132
"taman raia utama","gopeng","perak",268000,192,71,0,"terrace house",1,0,1,12.498742259493,5.25749537202778,4.26267987704132
"mekarsari unggul (fasa iii)","kepala batas","penang",613000,366,71,0,"terrace house",1,0,1,13.3261202149183,5.90263333340137,4.26267987704132
"puncak alam","bandar puncak alam","selangor",4e+05,288,71,1,"cluster house",0,1,0,12.8992198260901,5.66296048013595,4.26267987704132
"palmyra residences","bangi","selangor",432000,508,71,0,"service residence",1,0,1,12.9761808672262,6.23048144757848,4.26267987704132
"taman seri austin","tebrau","johor",719000,464,70,1,"terrace house",1,0,1,13.4856166367032,6.13988455222626,4.24849524204936
"bandar sri astana","sungai petani","kedah",260000,177,70,0,"terrace house",1,0,1,12.4684369099977,5.17614973257383,4.24849524204936
"bandar baru sri damansara","bandar sri damansara","selangor",894000,564,70,0,"terrace house",1,0,1,13.7034610541557,6.33505425149806,4.24849524204936
"taman desa cemerlang","ulu tiram","johor",495000,357,70,0,"terrace house",1,0,1,13.1123130415508,5.87773578177964,4.24849524204936
"bandar damai perdana","cheras","selangor",775000,543,70,0,"terrace house",1,0,1,13.5606183083355,6.29710931993394,4.24849524204936
"serelyn avenue","kuantan","pahang",388000,231,69,0,"terrace house",0,1,0,12.8687606186054,5.44241771052179,4.23410650459726
"taman pelangi","johor bahru","johor",750000,325,69,1,"semi d",1,0,1,13.5278284855125,5.78382518232974,4.23410650459726
"taman setia mutiara","kluang","johor",150000,107,69,1,"terrace house",1,0,1,11.9183905730784,4.67282883446191,4.23410650459726
"bandar cemerlang","tebrau","johor",828000,345,69,1,"cluster house",1,0,1,13.6267684333674,5.84354441703136,4.23410650459726
"setia impian 3","setia alam","selangor",930000,584,69,1,"terrace house",1,0,1,13.7429398651294,6.36990098282823,4.23410650459726
"eco botanic","iskandar puteri (nusajaya)","johor",1260000,580,68,0,"terrace house",1,0,1,14.0466222789277,6.36302810354046,4.21950770517611
"taman pulai mutiara","skudai","johor",550000,426,68,1,"terrace house",1,0,1,13.2176735572087,6.05443934626937,4.21950770517611
"goodview heights","kajang","selangor",768800,542,67,1,"terrace house",1,0,1,13.5525861366382,6.29526600143965,4.20469261939097
"taman kersani","kuala pilah","negeri sembilan",298000,192,67,0,"terrace house",1,0,1,12.6048487654875,5.25749537202778,4.20469261939097
"irama sendayan 2c","labu","negeri sembilan",584999,417,67,0,"terrace house",1,0,1,13.2793654168108,6.0330862217988,4.20469261939097
"bandar seri botani","ipoh","perak",496800,344,67,1,"terrace house",1,1,1,13.1159428096014,5.8406416573734,4.20469261939097
"taman klang utama","kapar","selangor",427500,403,66,0,"terrace house",1,0,1,12.965709567359,5.99893656194668,4.18965474202643
"taman desa pd","linggi","negeri sembilan",180000,131,66,0,"terrace house",1,0,1,12.1007121298723,4.87519732320115,4.18965474202643
"mentari court","bandar sunway","selangor",4e+05,516,66,0,"apartment",0,1,0,12.8992198260901,6.24610676548156,4.18965474202643
"taman bentara","telok panglima garang","selangor",455000,287,65,0,"terrace house",0,1,0,13.0280526979331,5.65948221575962,4.17438726989564
"bandar tasik kesuma","beranang","selangor",4e+05,293,64,1,"semi d",1,0,1,12.8992198260901,5.68017260901707,4.15888308335967
"taman polo laguna @ tambun","ipoh","perak",487800,349,64,0,"terrace house",0,1,0,13.097660764764,5.85507192220243,4.15888308335967
"taman harmonis fasa 2","seri iskandar","perak",240000,175,64,1,"terrace house",0,1,0,12.3883942023241,5.16478597392351,4.15888308335967
"taman tun dr ismail","taman tun dr ismail","kuala lumpur",1585000,768,64,0,"terrace house",1,0,1,14.2760949652935,6.64378973314767,4.15888308335967
"taman kamunting putra fasa 1","kamunting","perak",171000,131,63,0,"terrace house",0,1,0,12.0494188354848,4.87519732320115,4.14313472639153
"bandar sungai long","bandar sungai long","selangor",690000,440,63,0,"terrace house",1,0,1,13.4444468765734,6.08677472691231,4.14313472639153
"bandar baru sri petaling","sri petaling","kuala lumpur",845000,511,63,1,"terrace house",0,1,0,13.6470919063393,6.2363695902037,4.14313472639153
"bandar amanjaya (zon anggerik)","sungai petani","kedah",215000,166,63,1,"semi d",1,0,1,12.2783933071098,5.11198778835654,4.14313472639153
"chemor kayangan","ipoh","perak",228000,156,62,0,"terrace house",0,1,0,12.3371009079366,5.04985600724954,4.12713438504509
"bandar jaya putra","tebrau","johor",1201200,549,62,1,"terrace house",1,0,1,13.9988316150913,6.30809844150953,4.12713438504509
