"Area_Actual","Area","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"tapah","Other","terrace house",0,0,168,363,219300.000000004,231762.359740332
"jasin","Other","terrace house",0,1,188,301.000000000001,179999.999999991,271726.937116373
"bemban","Other","terrace house",0,0,91.9999999999999,288.000000000001,128730.000000003,128153.799624099
"skudai","skudai","terrace house",0,0,396,183,672000.000000009,567078.741365797
"pasir gudang","Other","terrace house",1,1,386.999999999999,177,380000.000000012,600847.406604087
"pasir gudang","Other","terrace house",0,1,384.000000000001,149,551650.000000026,560210.053163583
"kulai","Other","terrace house",0,1,377,144.999999999999,680000.000000007,550396.733798374
"kluang","kluang","terrace house",0,1,200.000000000001,124,419443.999999987,280144.510093277
"skudai","skudai","terrace house",0,1,322.000000000001,122,529999.999999998,486586.62996733
"shah alam","shah alam","terrace house",0,0,309.000000000001,118.000000000001,472799.999999988,455396.800809589
"batu pahat","batu pahat","terrace house",0,1,387.999999999999,118.000000000001,618500.000000013,562840.991019198
"skudai","skudai","cluster house",1,1,482.999999999999,114.000000000001,1114310,948263.655567705
"ijok","Other","terrace house",0,1,391.999999999999,109,509800.000000024,575605.170531418
"kota tinggi","Other","terrace house",0,0,104,105,79999.9999999985,147871.077753536
"banting","Other","semi d",1,1,129,104,179999.999999991,283026.261422112
"senai","Other","terrace house",0,1,591.000000000001,89,838999.999999963,868737.323968096
"kota tinggi","Other","terrace house",0,0,160.000000000001,89,246600.000000004,227518.689665209
"skudai","skudai","terrace house",1,1,251.999999999999,88.0000000000003,564229.99999998,410411.911494395
"damansara perdana","Other","apartment",0,0,447.000000000001,85.0000000000003,380000.000000012,339510.718880696
"kijal","Other","semi d",1,1,126,81.0000000000001,319999.999999997,277970.737999241
"jimah","Other","terrace house",0,1,482.999999999999,79.9999999999999,675887.999999998,712734.09774334
"johor bahru","johor bahru","service residence",0,1,1270,78.9999999999999,1386799.99999999,1320490.37612447
"gurun","Other","terrace house",0,1,141,75.9999999999999,231999.999999989,210332.853688445
"masai","Other","terrace house",1,1,319.999999999999,75.9999999999999,436439.999999984,506608.361013394
"klang","klang","terrace house",0,1,434.000000000002,74,682500.000000033,689191.099005067
"kajang","kajang","service residence",0,0,503,72.0000000000003,298999.999999993,424257.121310793
"bandar sri damansara","Other","terrace house",0,1,564.000000000001,70.0000000000001,894000.000000043,833606.10691398
"johor bahru","johor bahru","semi d",1,1,325.000000000001,69,750000.000000006,861512.464050233
"setia alam","Other","terrace house",1,1,584.000000000002,69,929999.999999965,922061.933750465
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","terrace house",0,1,579.999999999997,68.0000000000002,1260000.00000005,957049.312598462
"skudai","skudai","terrace house",1,1,426,68.0000000000002,550000.000000025,694716.161246121
"labu","Other","terrace house",0,1,416.999999999999,67.0000000000003,584998.999999986,618387.962928097
"ipoh","ipoh","terrace house",1,1,344.000000000001,67.0000000000003,496799.999999997,531920.327757537
"linggi","Other","terrace house",0,1,131,66.0000000000003,179999.999999991,196117.540599694
"seri iskandar","Other","terrace house",1,0,174.999999999999,63.9999999999999,239999.999999993,267502.422554559
"tebrau","tebrau","terrace house",1,1,548.999999999999,61.9999999999999,1201199.99999998,929543.491037059
"pengerang","Other","terrace house",0,0,67.0000000000003,60,79999.9999999985,96740.855022069
"sungai petani","sungai petani","terrace house",0,1,152.000000000001,59,220000,212045.777904487
"simpang ampat","Other","terrace house",0,1,270.000000000002,58,425000.000000019,403010.872497533
"sungai petani","sungai petani","terrace house",0,1,165,53.9999999999998,229999.999999992,230465.786548233
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","terrace house",0,1,372.000000000001,52.9999999999999,420000.00000002,619270.250028601
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","terrace house",0,1,363,52.9999999999999,540000.000000024,604405.084430437
"serendah","Other","terrace house",0,1,384.999999999998,52.0000000000001,452000.000000015,574385.215397144
"kulai","Other","terrace house",0,1,382.000000000002,49.0000000000002,499000.000000022,570666.169582789
"seri kembangan","Other","terrace house",0,0,338,49.0000000000002,507999.99999999,483904.556458551
"labu","Other","terrace house",0,1,67.0000000000003,47.9999999999999,79999.9999999985,101524.135921247
"iskandar puteri (nusajaya)","iskandar puteri (nusajaya)","service residence",0,1,386,47.9999999999999,360000.000000003,378745.193081172
"gerisek","Other","terrace house",0,1,99.9999999999999,47.0000000000001,164999.999999997,151116.59981956
"krubong","Other","terrace house",0,0,223,47.0000000000001,290000.000000013,320599.628158441
"ayer itam","Other","flat",0,1,243,47.0000000000001,170000,154426.018270127
"batu pahat","batu pahat","terrace house",0,1,244,46.0000000000002,420000.00000002,362449.425992463
"semenyih","Other","terrace house",0,1,445,42.9999999999999,781800.000000007,665827.053455962
"pasir gudang","Other","terrace house",0,1,353.000000000001,42.9999999999999,480000.000000012,529142.274345002
"tampoi","Other","service residence",0,1,484.999999999998,42.0000000000001,391500.000000002,426872.582970475
"ipoh","ipoh","terrace house",0,0,229,41.0000000000001,402999.999999992,321746.747602919
"sungai petani","sungai petani","terrace house",0,1,150.999999999999,41.0000000000001,200000.000000005,212300.193694638
"johor bahru","johor bahru","terrace house",0,1,487,41.0000000000001,809661.999999977,879398.8281189
"simpang pulai","Other","terrace house",0,1,288.000000000001,40.0000000000001,448799.999999989,433070.431850699
"batang kali","Other","terrace house",0,0,187.000000000001,40.0000000000001,250000.000000004,270144.399918796
"batu gajah","Other","terrace house",0,0,236,39.0000000000001,330879.999999984,340486.776152526
