"Township","Area","State","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted","Error","Percent_Error"
"scientex sungai dua","tasek gelugor","penang","terrace house",0,1,303.999999999999,593.000000000003,331800.000000006,393621.083586814,61821.0835868078,18.6320324251979
"bandar putra","kulai","johor","cluster house",1,1,322.000000000001,519.000000000001,590900.00000002,530024.506524601,-60875.493475419,-10.3021650829949
"taman lagenda tropika tapah","chenderiang","perak","terrace house",0,1,130,413.999999999998,229954.000000008,184959.07893329,-44994.9210667176,-19.5669225439505
"taman impian emas","tebrau","johor","terrace house",1,1,327.999999999999,349.000000000001,737999.999999993,492823.710966233,-245176.289033761,-33.2217193812687
"taman bestari indah","ulu tiram","johor","terrace house",0,1,471.000000000001,184.000000000001,831999.999999961,781429.468175463,-50570.5318244983,-6.07818892121402
"taman mutiara rini","skudai","johor","terrace house",0,0,396,183,672000.000000009,520399.23958719,-151600.76041282,-22.5596369661931
"taman setia indah","tebrau","johor","terrace house",0,1,382.000000000002,118.000000000001,610000.000000003,598155.84779577,-11844.1522042331,-1.94166429577591
"meridin east","pasir gudang","johor","terrace house",0,1,413.999999999998,115,579999.999999999,696447.220825807,116447.220825808,20.0771070389324
"taman skudai baru","skudai","johor","terrace house",0,1,325.000000000001,114.000000000001,434999.999999991,498645.03516686,63645.0351668688,14.6310425670966
"taman mutiara bestari","skudai","johor","cluster house",1,1,482.999999999999,114.000000000001,1114310,987314.302284836,-126995.697715168,-11.3968014031255
"caledonia","ijok","selangor","terrace house",0,1,391.999999999999,109,509800.000000024,555857.118286853,46057.1182868283,9.03435038972659
"laman aspirasi (banting)","banting","selangor","semi d",1,1,129,104,179999.999999991,312367.605066049,132367.605066058,73.5375583700359
"prima @ sitiawan","sitiawan","perak","terrace house",0,1,193.000000000001,102,270609.999999997,293163.243927861,22553.243927864,8.33422413357389
"dorsett residences bukit bintang","bukit bintang","kuala lumpur","service residence",0,1,1663.99999999999,93.9999999999997,1482000.00000005,1965779.81323983,483779.813239781,32.6437120944512
"taman puterimas (kluang)","kluang","johor","terrace house",0,1,119,89,250750.000000004,163153.298181113,-87596.7018188915,-34.9338790902851
"d'art hills residence","senai","johor","terrace house",0,1,591.000000000001,89,838999.999999963,1006952.46152522,167952.46152526,20.0181718146922
"bandar springhill","jimah","negeri sembilan","terrace house",0,1,178.999999999999,86.0000000000002,220000,251507.900807301,31507.9008073012,14.3217730942278
"taman hijauan valdor","sungai bakap","penang","terrace house",1,1,240.999999999999,85.0000000000003,675000.000000023,403554.758651168,-271445.241348854,-40.2141098294586
"taman mesra impian","kampar","perak","terrace house",0,0,214,83.0000000000002,299999.999999989,288765.338082179,-11234.6619178102,-3.74488730593686
"bandar ioi","segamat","johor","terrace house",0,1,208,79.9999999999999,349350.000000001,287498.481236553,-61851.5187634479,-17.70474274036
"setia sky 88","johor bahru","johor","service residence",0,1,1270,78.9999999999999,1386799.99999999,1977774.2662927,590974.266292709,42.614238988514
"taman putri kulai","kulai","johor","terrace house",0,1,291.999999999999,77.9999999999999,449999.999999999,430778.287981028,-19221.7120189709,-4.27149155977133
"laman setia","iskandar puteri (nusajaya)","johor","terrace house",0,1,389.000000000002,72.9999999999999,649999.999999987,550769.40999635,-99230.5900036375,-15.2662446159445
"la casa lunas","lunas","kedah","semi d",0,1,226.999999999999,71.0000000000003,516887.99999998,456019.322037258,-60868.6779627227,-11.7759897623325
"mekarsari unggul (fasa iii)","kepala batas","penang","terrace house",0,1,366.000000000001,71.0000000000003,612999.99999997,484661.245042977,-128338.754956993,-20.9361753600325
"bandar baru sri damansara","bandar sri damansara","selangor","terrace house",0,1,564.000000000001,70.0000000000001,894000.000000043,897397.026158609,3397.026158566,0.379980554649423
"serelyn avenue","kuantan","pahang","terrace house",0,0,230.999999999999,69,387999.999999996,335889.42034908,-52110.5796509156,-13.4305617657001
"bandar cemerlang","tebrau","johor","cluster house",1,1,345,69,828000.000000003,617413.214625202,-210586.785374801,-25.4331866394686
"goodview heights","kajang","selangor","terrace house",1,1,542.000000000002,67.0000000000003,768799.999999984,985203.454638616,216403.454638632,28.1482121017997
"irama sendayan 2c","labu","negeri sembilan","terrace house",0,1,416.999999999999,67.0000000000003,584998.999999986,689550.246735954,104551.246735968,17.872038539548
"taman desa pd","linggi","negeri sembilan","terrace house",0,1,131,66.0000000000003,179999.999999991,168210.437158361,-11789.5628416303,-6.54975713423938
"taman tun dr ismail","taman tun dr ismail","kuala lumpur","terrace house",0,1,767.999999999998,63.9999999999999,1584999.99999997,1506949.15136349,-78050.8486364784,-4.92434376255393
"bandar baru sri petaling","sri petaling","kuala lumpur","terrace house",1,0,510.999999999998,62.9999999999998,844999.999999991,724424.328127885,-120575.671872106,-14.2693102807227
"bandar sungai buaya","serendah","selangor","terrace house",0,0,188,60,299999.999999989,237675.381394692,-62324.6186052969,-20.7748728684331
"taman tunku","miri","sarawak","terrace house",0,0,182.000000000001,59,288000.000000005,243646.877677288,-44353.1223227172,-15.4003896953877
"ss2 petaling jaya","petaling jaya","selangor","terrace house",0,1,624.999999999999,58,1120000.00000003,1210598.43754624,90598.4375462176,8.08914620948353
"taman krubong heights","krubong","melaka","terrace house",0,1,290,57,405800.00000002,452604.876020196,46804.8760201763,11.5339763479976
"palm spring @ damansara","kota damansara","selangor","condominium",0,0,524.999999999998,57,529999.999999998,617701.317423358,87701.3174233602,16.5474183817661
"bertam perdana","kepala batas","penang","cluster house",1,1,260.000000000001,55,309999.999999991,448285.735465065,138285.735465073,44.6083017629282
"bandar puteri jaya seksyen 1","sungai petani","kedah","terrace house",0,1,200.000000000001,55,228000.000000005,274768.886970093,46768.8869700884,20.5126697237225
"bandar botanic","klang","selangor","terrace house",0,1,468.000000000001,53.9999999999998,767500.000000008,744195.7681006,-23304.2318994087,-3.03638200643759
"bandar amanjaya (kemboja)","sungai petani","kedah","terrace house",0,1,165,53.9999999999998,229999.999999992,251449.808914267,21449.8089142747,9.3260038757719
"taman puncak kasih merlimau pasir","merlimau","melaka","terrace house",0,1,127,52.9999999999999,179800.000000008,182707.371234683,2907.37123467511,1.61700291138765
