"Township","Area","State","Primary_Type","Multi_Type","Primary_Tenure","Median_PSF","Transactions","Actual","Predicted"
"taman lagenda teluk intan","teluk intan","perak","terrace house",1,0,126,309.000000000001,236593.99999999,257442.799087684
"taman bukit indah","iskandar puteri (nusajaya)","johor","terrace house",0,1,425.000000000001,259.000000000001,694999.999999979,601410.668601714
"taman universiti","skudai","johor","terrace house",0,1,307.000000000001,202.000000000001,394000.000000011,368168.862766419
"taman kirana","kluang","johor","terrace house",0,0,125,188,170799.999999999,257442.799087684
"taman scientex","pasir gudang","johor","terrace house",1,1,386.999999999999,177,380000.000000012,601410.668601714
"taman daya","tebrau","johor","cluster house",1,1,330.999999999999,171.999999999999,503999.999999997,731320.085641864
"horizon hills","iskandar puteri (nusajaya)","johor","terrace house",0,1,499.999999999999,171,1179999.99999994,601410.668601714
"d'summit residences","skudai","johor","service residence",0,1,601.999999999999,165,452899.999999998,919891.984987014
"taman desa tebrau","tebrau","johor","terrace house",1,1,469.999999999998,163,929999.999999965,601410.668601714
"taman arowana [lenggeng]","lenggeng","negeri sembilan","terrace house",0,0,310,152.000000000001,476240.000000014,368168.862766419
"seksyen 30 shah alam","shah alam","selangor","semi d",1,1,307.999999999999,139.999999999999,494999.999999987,368168.862766419
"taman setia indah","tebrau","johor","terrace house",0,1,382.000000000002,118.000000000001,610000.000000003,601410.668601714
"flat taman ungku tun aminah","skudai","johor","flat",0,1,283.000000000001,117,139999.999999994,155287.588965247
"meridin east","pasir gudang","johor","terrace house",0,1,413.999999999998,115,579999.999999999,601410.668601714
"oug parklane","jalan klang lama (old klang road)","kuala lumpur","service residence",0,1,611.000000000003,102,579999.999999999,919891.984987014
"perwira seri iskandar","seri iskandar","perak","terrace house",0,0,104,91.9999999999999,144999.999999998,257442.799087684
"taman austin duta","tebrau","johor","terrace house",1,1,493,91.9999999999999,780999.999999983,601410.668601714
"taman pulai mutiara 2","skudai","johor","terrace house",1,1,251.999999999999,88.0000000000003,564229.99999998,368168.862766419
"eka heights - precinct 3b","labu","negeri sembilan","terrace house",0,1,267,86.9999999999997,399999.999999992,368168.862766419
"taman seri mahkota","sitiawan","perak","terrace house",0,1,178.999999999999,81.9999999999997,250000.000000004,257442.799087684
"bukit jelutong","shah alam","selangor","semi d",1,1,437,81.0000000000001,980000.000000045,731320.085641864
"bandar country homes","rawang","selangor","terrace house",1,1,312.999999999999,78.9999999999999,420000.00000002,368168.862766419
"per. permatang badak perdana (pl 177521)","kuantan","pahang","terrace house",0,0,232,77.9999999999999,325000.000000008,368168.862766419
"taman megah ria","masai","johor","terrace house",1,1,319.999999999999,75.9999999999999,436439.999999984,601410.668601714
"bandar puchong jaya","puchong","selangor","terrace house",0,1,513,74,724999.999999991,601410.668601714
"taman pulai mutiara","skudai","johor","terrace house",1,1,426,68.0000000000002,550000.000000025,601410.668601714
"taman polo laguna @ tambun","ipoh","perak","terrace house",0,0,349.000000000001,63.9999999999999,487800.000000021,601410.668601714
"taman harmonis fasa 2","seri iskandar","perak","terrace house",1,0,174.999999999999,63.9999999999999,239999.999999993,257442.799087684
"taman kamunting putra fasa 1","kamunting","perak","terrace house",0,0,131,62.9999999999998,171000.000000001,257442.799087684
"taman gadong jaya","labu","negeri sembilan","terrace house",1,1,207,60,280000.000000004,368168.862766419
"alam sari bangi","bangi","selangor","terrace house",1,1,415.999999999999,60,856999.999999985,601410.668601714
"bandar sungai buaya","serendah","selangor","terrace house",0,0,188,60,299999.999999989,257442.799087684
"taman ria","sungai petani","kedah","terrace house",0,1,152.000000000001,59,220000,257442.799087684
"taman samarindah","kota samarahan","sarawak","terrace house",0,1,168,59,299999.999999989,257442.799087684
"royal domain sri putramas 2","jalan kuching","kuala lumpur","condominium",0,1,669.000000000001,59,850000.000000001,919891.984987014
